Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q73_8,Q73_9,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q75_8,Q75_9,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q76_7,Q76_8,Q76_9,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q78_8
1,1,6,4,3,1,25,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,85,91,69,80,77,70,35,45,65,84,36,63,89,77,84,91,76,73,84,76,74,82,55,56,72,47,86,85,72,78,86,82,42,78,92,86,82,75,77,91,43,30,40,60,83,92,79,84,41,75,43,80,75
1,1,6,3,2,1,27,1,0,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,61,51,21,72,45,6,9,4,62,76,6,15,68,75,64,76,69,43,93,53,8,58,4,7,7,18,70,39,21,66,94,60,20,47,55,83,46,11,83,75,2,13,22,10,28,29,64,58,25,3,2,7,20
1,1,6,3,2,2,33,1,0,1,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,2,2,3,3,3,1,1,1,2,1,2,2,1,70,68,59,81,80,69,31,33,52,79,31,63,55,89,73,83,68,58,87,87,65,62,70,35,38,58,73,54,71,62,83,64,30,73,84,80,85,64,77,75,32,28,46,57,39,69,63,88,-99,74,-99,-99,73
1,1,8,4,2,1,35,1,0,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,30,30,80,60,40,10,0,0,0,40,0,0,20,40,0,60,30,20,70,60,20,70,10,0,0,0,60,20,20,30,60,0,0,20,0,100,20,20,40,40,0,0,0,0,20,50,40,70,0,10,0,20,20
1,1,6,2,2,1,30,1,1,2,2,1,3,1,2,3,3,2,1,2,3,1,1,3,3,1,1,1,2,2,3,3,1,2,1,3,2,3,3,2,3,3,3,1,1,3,3,3,1,1,3,2,2,2,3,3,1,1,1,1,3,3,45,65,23,85,34,62,37,89,23,-99,28,78,60,67,40,34,56,-99,-99,-99,89,75,93,35,36,38,45,34,74,98,84,39,75,26,43,65,84,23,23,45,67,65,39,23,85,-99,38,89,57,-99,67,78,-99
2,1,1,2,2,2,27,5,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,100,84,83,99,78,100,31,89,93,85,0,0,73,78,28,100,32,72,100,62,70,91,82,27,29,65,100,77,74,100,100,66,59,70,83,76,93,100,99,92,0,73,66,80,70,77,82,84,73,7,84,82,79
1,1,6,5,3,2,27,0,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,88,41,16,70,53,95,0,0,5,62,0,12,52,78,71,86,77,17,92,93,46,89,60,3,1,28,69,16,88,71,87,44,0,55,23,76,53,71,32,30,8,14,5,32,35,57,41,65,0,57,0,0,59
2,1,1,4,3,2,32,1,2,1,3,1,1,1,1,3,1,3,1,2,1,1,2,1,1,1,2,1,1,1,1,1,3,2,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,3,3,2,3,65,86,67,93,68,82,50,66,32,87,50,68,66,64,73,100,83,69,100,89,65,89,81,48,50,37,62,61,60,65,90,50,50,95,40,100,88,93,65,78,24,89,33,50,71,75,60,78,78,66,50,32,62
2,1,8,2,2,1,26,1,0,1,1,1,1,2,3,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,3,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,56,84,87,88,75,68,0,59,0,77,3,11,78,11,88,90,62,32,93,81,57,84,-99,21,0,2,78,40,79,57,68,44,9,75,8,100,72,67,77,25,0,3,10,77,63,75,69,97,10,72,0,0,38
1,1,8,2,3,1,29,0,1,1,1,1,1,1,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,2,3,1,92,74,82,78,75,50,5,2,18,78,15,62,84,86,88,90,91,89,91,85,87,89,50,2,2,5,82,70,86,89,83,83,9,86,10,83,81,72,87,83,50,10,6,56,81,74,77,80,30,70,7,30,92
1,1,2,3,4,1,41,2,3,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,2,2,1,79,79,91,65,56,95,6,45,7,87,3,16,50,68,77,96,75,76,98,63,54,96,50,0,14,27,94,37,73,92,100,46,16,26,78,92,97,93,75,97,0,0,8,11,58,60,75,94,82,26,4,14,54
2,1,8,3,2,1,21,6,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,78,79,80,85,73,0,35,74,61,80,88,90,91,100,77,100,77,38,100,100,75,81,0,66,70,0,72,74,84,82,100,78,67,83,60,72,71,79,87,66,21,67,35,79,77,68,82,75,80,80,86,76,75
2,1,1,2,3,2,28,2,0,1,2,3,2,2,3,1,1,1,1,3,1,2,1,1,3,2,1,1,1,2,2,2,3,1,2,1,3,3,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,1,2,60,62,72,76,68,77,75,78,37,29,63,72,71,62,69,55,63,63,62,72,75,65,61,67,57,62,80,68,76,36,66,78,52,76,35,39,50,35,69,28,74,69,66,68,58,72,39,59,30,70,16,43,53
1,1,2,4,3,1,33,2,2,1,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,50,83,95,80,100,50,10,50,30,100,50,85,94,80,75,100,85,50,95,100,80,95,50,30,55,50,95,75,90,85,100,85,50,70,90,100,85,94,100,90,25,59,50,75,50,75,100,75,19,61,10,75,73
2,2,8,3,2,2,37,2,0,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,90,95,81,86,81,84,55,57,78,75,12,74,84,81,63,98,80,62,98,86,89,95,66,20,32,72,84,37,89,82,95,72,5,76,89,93,73,72,79,58,65,65,61,37,76,68,88,89,82,69,15,80,72
2,4,1,5,4,2,36,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,58,74,69,60,61,55,68,76,77,73,71,65,68,74,67,64,67,68,78,63,65,65,69,76,63,72,77,69,71,61,68,65,66,63,69,78,70,61,78,65,71,74,71,69,75,68,69,69,73,74,64,66
1,1,2,2,1,1,24,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,86,83,72,55,74,22,0,0,25,65,0,0,83,17,46,40,66,82,89,82,67,61,0,0,0,61,56,62,67,100,43,78,0,59,72,100,86,100,63,68,0,0,74,16,76,58,57,76,0,5,0,0,57
2,1,2,2,3,2,50,2,3,1,1,3,1,3,1,3,3,2,1,3,3,1,1,1,1,1,3,1,1,3,1,1,3,3,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,3,1,74,69,-99,85,-99,76,-99,-99,-99,72,-99,-99,77,74,86,100,62,-99,100,75,-99,90,70,-99,-99,-99,80,-99,60,-99,100,59,-99,67,82,100,75,73,79,90,-99,70,-99,57,74,75,82,100,82,63,-99,-99,71
1,1,7,2,2,1,25,0,1,1,1,3,1,1,3,2,2,3,1,2,1,3,3,1,1,1,3,1,1,1,1,2,2,2,2,1,3,1,1,1,1,2,3,1,1,3,1,3,1,2,2,2,2,1,3,3,1,2,1,2,3,1,74,82,67,83,83,72,13,12,49,69,18,57,63,80,67,82,64,57,86,72,67,62,51,26,20,41,81,61,58,74,81,67,18,67,73,84,56,73,72,67,41,8,25,51,70,57,69,84,14,60,16,57,59
2,5,2,4,3,1,21,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,85,79,83,100,73,76,0,0,0,84,0,61,83,14,79,69,87,22,82,84,72,76,74,0,0,7,80,62,69,74,67,52,0,62,83,96,90,68,71,86,0,0,10,0,79,83,80,100,0,73,0,0,75
1,1,1,2,2,2,33,3,2,1,1,2,1,3,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,100,100,0,100,50,100,0,0,75,100,100,75,50,100,100,100,50,100,100,100,50,100,100,0,0,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,50,0,100,25,100,100,75,100,75,100,50,100,100
2,1,1,4,3,1,50,4,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,61,57,83,83,67,63,14,10,47,59,12,70,65,64,70,94,62,53,57,82,70,91,66,12,15,26,82,55,87,75,87,75,13,67,43,100,87,72,62,53,55,4,36,41,58,63,66,80,48,64,18,35,64
1,1,8,2,2,1,28,3,3,1,1,1,1,3,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,87,93,83,92,62,68,0,3,25,83,5,45,79,93,95,96,86,88,97,89,68,83,56,0,17,97,95,45,95,99,100,63,2,67,95,100,83,88,81,76,0,3,98,38,63,71,89,80,11,90,2,86,95
1,4,8,4,3,1,28,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,3,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,94,60,84,76,56,78,0,0,70,78,0,38,66,23,61,67,69,58,86,93,78,71,50,0,0,65,59,79,89,85,73,22,0,63,71,86,78,50,80,84,0,0,26,29,66,65,50,89,0,10,0,75,60
2,5,1,3,2,1,25,3,0,1,1,1,1,1,2,2,2,2,1,1,1,1,3,2,3,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,68,60,41,93,69,0,2,3,35,86,1,58,76,80,26,82,90,38,89,67,30,65,5,28,41,61,79,26,63,78,87,63,10,55,30,93,80,83,83,69,5,4,22,37,29,76,41,66,27,17,9,60,68
2,1,1,2,3,2,63,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,89,88,78,88,71,76,0,17,50,65,0,0,75,12,71,87,59,50,68,77,61,93,50,5,7,12,87,74,64,91,85,62,0,64,50,100,80,73,81,66,35,6,1,0,82,65,73,59,57,50,0,50,66
1,4,8,4,3,2,25,4,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,77,76,67,56,83,54,9,2,26,68,24,55,76,59,70,59,64,68,59,72,87,67,19,30,16,40,79,47,68,86,79,55,13,41,50,59,85,68,79,88,11,8,50,24,78,62,60,75,60,84,14,38,68
1,3,1,4,1,2,32,4,2,2,1,1,2,2,1,1,3,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,3,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,1,59,50,46,61,44,59,37,42,52,43,46,50,46,43,52,51,53,52,45,53,50,48,47,46,53,47,51,45,50,53,50,48,46,48,53,46,52,55,48,97,56,54,43,53,46,43,54,59,41,43,44,54,52
2,1,1,2,1,3,51,5,2,1,1,3,3,1,1,2,2,2,1,3,1,1,3,1,1,1,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,1,3,1,1,3,1,3,3,2,2,3,58,64,56,67,82,93,26,10,13,62,12,13,61,56,17,60,57,56,56,65,93,66,78,8,40,24,62,62,53,69,67,56,5,70,2,61,61,65,60,61,23,24,10,30,76,59,58,60,36,69,13,10,62
1,4,8,5,2,1,28,0,3,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,62,77,88,74,55,96,14,14,45,60,27,60,79,67,62,63,34,42,98,73,56,65,24,1,9,28,86,53,74,69,85,65,12,47,65,85,89,70,72,81,14,7,19,26,55,76,69,91,31,64,22,57,59
1,1,6,3,2,2,22,3,1,1,1,1,2,1,1,2,3,3,1,2,3,1,1,1,1,1,3,1,1,3,1,3,3,1,2,1,3,1,1,1,3,2,1,1,1,1,1,1,1,2,3,2,3,3,1,1,1,3,1,2,2,1,79,85,73,87,88,76,-99,-99,72,76,56,62,73,89,80,80,72,72,89,82,83,78,62,-99,70,81,77,72,82,69,78,71,-99,81,94,96,91,87,87,71,-99,-99,21,89,63,64,82,73,40,79,50,60,77
